Designator,Footprint,Quantity,Value,LCSC Part #
"_42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,42,,
"C202, C206, C209, C212, C300, C301, C302, C303, C304, C305, C306, C307, C308, C309, C401, C402, C600, C700",0805,18,100nF,C28233
C500,0805,1,10nF,C1710
"R100, R101, R102, R105, R107, R110, R215, R228, R402",0805,9,220,C17557
"R1000, R1001, R1002, R1100, R1101, R1102, R1103, R1104",0805,8,1k,C17513
"R103, R108, R111, R204, R205, R210, R211, R217, R218, R223, R224, R230, R231, R403, R503, R504",0805,16,10k,C17414
"R104, R106, R109, R112, R500, R501",0805,6,150k,C17470
"R203, R209, R216, R222, R229, R502",0805,6,33k,C17633
R300,0805,1,330,C17630
R301,0805,1,680,C17798
R400,0805,1,2.2k,C17520
R401,0805,1,2.4k,C17526
"R900, R901, R902, R903, R904",0805,5,4.7k,C17673
