Designator,Mid X,Mid Y,Rotation,Layer
_42,78.0,-165.0,180.0,top
_41,214.0,-165.0,180.0,top
_40,145.0,-165.0,180.0,top
_39,148.0,-165.0,180.0,top
_38,211.0,-165.0,180.0,top
_37,142.0,-165.0,180.0,top
_36,143.0,-165.0,180.0,top
_35,144.0,-165.0,180.0,top
_34,213.0,-165.0,180.0,top
_33,147.0,-165.0,180.0,top
_32,77.0,-165.0,180.0,top
_31,209.0,-165.0,180.0,top
_30,76.0,-165.0,180.0,top
_29,80.0,-165.0,180.0,top
_28,212.0,-165.0,180.0,top
_27,75.0,-165.0,180.0,top
_26,79.0,-165.0,180.0,top
_25,81.0,-165.0,180.0,top
_24,146.0,-165.0,180.0,top
_23,215.0,-165.0,180.0,top
_22,210.0,-165.0,180.0,top
_21,80.0,-25.0,0.0,top
_20,142.0,-25.0,0.0,top
_19,215.0,-25.0,0.0,top
_18,214.0,-25.0,0.0,top
_17,75.0,-25.0,0.0,top
_16,144.0,-25.0,0.0,top
_15,213.0,-25.0,0.0,top
_14,78.0,-25.0,0.0,top
_13,209.0,-25.0,0.0,top
_12,81.0,-25.0,0.0,top
_11,147.0,-25.0,0.0,top
_10,145.0,-25.0,0.0,top
_9,212.0,-25.0,0.0,top
_8,76.0,-25.0,0.0,top
_7,143.0,-25.0,0.0,top
_6,146.0,-25.0,0.0,top
_5,79.0,-25.0,0.0,top
_4,148.0,-25.0,0.0,top
_3,77.0,-25.0,0.0,top
_2,211.0,-25.0,0.0,top
,210.0,-25.0,0.0,top
BR100,69.9425,-35.5125,270.0,bottom
C100,101.95,-34.0,0.0,bottom
C101,84.95,-33.8,0.0,bottom
C200,75.8,-40.0,0.0,bottom
C201,75.7551,-45.1,0.0,bottom
C202,74.0,-52.92,0.0,bottom
C203,89.45,-46.1,180.0,bottom
C204,94.8,-47.1,0.0,bottom
C205,93.35,-41.5,180.0,bottom
C206,98.5,-53.0,180.0,bottom
C207,99.85,-45.0,180.0,bottom
C208,58.0449,-88.35,180.0,bottom
